County,City,ZipCode,Agency,FocusArea,Service,Address
Butts,Jackson,30233,Butts County DFCS,Education,Adoption Evaluation/Placement,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Basic Needs,Child Abuse Reporting/Emergency Response,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Basic Needs,Child Care Expense Assistance Applications,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Basic Needs,Food Stamps/SNAP Applications,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Health,Foster Homes for Dependent Children,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Income,GAIN Programs,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Income,Job Banks,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Health,Medicaid Applications,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Education,Parenting Skills Classes,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Basic Needs,Public Guardianship/Conservatorship Programs,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County DFCS,Health,TANF Applications,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Health,Disability Rights Groups,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Miscellaneous,Group Advocacy,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Health,Health/Disability Related Support Groups * Developmental Issues,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Miscellaneous,Legislative Advocacy,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Miscellaneous,Media Materials,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Health,Mental Health Related Support Groups,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Miscellaneous,Outreach Programs,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Developmental Disabilities Service Center,Miscellaneous,Political Action/Lobbying Groups,415 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Anonymous HIV Testing,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Education,Birth Control Counseling,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Blood Pressure Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Breast Examinations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Childhood Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Confidential HIV Testing,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Contraception,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Dental Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Diabetes Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Flu Vaccines,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,General Health Education Programs,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,General Physical Examinations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Hearing Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Hepatitis A Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Hepatitis B Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Measles/Mumps/Rubella Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Meningitis Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Neonatal/Perinatal Medicine,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Pap Tests,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Physician Referral Services,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Pneumococcal Pneumonia Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Poliovirus Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Postpartum Care,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Sexually Transmitted Disease Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Sexually Transmitted Disease Treatment,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Sickle Cell Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Td/Tdap Immunizations,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Tuberculosis Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Vision Screening,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,WIC Applications/Certification,463 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Health Department,Health,Well Baby Care,463 Ernest Biles Dr.
Butts,Jackson,30233,"Butts County Life Enrichment Team, Inc.",Miscellaneous,Group Advocacy,151 N. Mimosa Ln.
Butts,Jackson,30233,"Butts County Life Enrichment Team, Inc.",Health,Health/Disability Related Support Groups * Parents of People With Disabilities,151 N. Mimosa Ln.
Butts,Jackson,30233,"Butts County Life Enrichment Team, Inc.",Miscellaneous,Planning/Coordinating/Advisory Groups,151 N. Mimosa Ln.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Miscellaneous,City/County Parks,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Health,Community Wellness Programs,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Miscellaneous,Congregate Meals/Nutrition Sites,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Health,Exercise Classes/Groups,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Basic Needs,Home Delivered Meals,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Health,Medical Appointments Transportation,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Basic Needs,Older Adult Social Clubs,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Miscellaneous,Recreation Centers,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Basic Needs,Senior Advocacy Groups,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Basic Needs,Senior Centers,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County Parks and Recreation Department,Basic Needs,Senior Ride Programs,576 Ernest Biles Dr.
Butts,Jackson,30233,Butts County School District,Education,Alternative Schools,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,Early Head Start Sites,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,Elementary School Districts,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,GED/High School Equivalency Test Instruction,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,Head Start Sites,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,High School Districts,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,Intermediate Schools,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,Middle Schools,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,Primary Schools,181 N. Mulberry St.
Butts,Jackson,30233,Butts County School District,Education,Secondary/High Schools,181 N. Mulberry St.
Butts,Jackson,30233,Butts Neighborhood Service Center,Homelessness,Electric Service Payment Assistance,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts Neighborhood Service Center,Homelessness,Gas Service Payment Assistance,178 Ernest Biles Dr.
Butts,Jackson,30233,Butts Neighborhood Service Center,Homelessness,Heating Fuel Payment Assistance,178 Ernest Biles Dr.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Miscellaneous,Children's Clothing,307 E. Third St.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Homelessness,Electric Service Payment Assistance,307 E. Third St.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Basic Needs,Food Pantries,307 E. Third St.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Miscellaneous,Gas Money,307 E. Third St.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Homelessness,Gas Service Payment Assistance,307 E. Third St.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Miscellaneous,General Clothing Provision,307 E. Third St.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Income,Rent Payment Assistance,307 E. Third St.
Butts,Jackson,30233,Christian Emergency Relief Foundation/CERF,Homelessness,Water Service Payment Assistance,307 E. Third St.
Butts,Jackson,30233,Division of Child Support Services Towaliga Office,Basic Needs,Child Support Assistance/Enforcement,464 W. Third St.
Butts,Jackson,30233,Division of Child Support Services Towaliga Office,Basic Needs,Child Support Petition Filing Offices,464 W. Third St.
Butts,Jackson,30233,Division of Child Support Services Towaliga Office,Basic Needs,Child Support Wage Assignment Assistance,464 W. Third St.
Butts,Jackson,30233,Division of Child Support Services Towaliga Office,Miscellaneous,Paternity Suits,464 W. Third St.
Butts,Jackson,30233,Division of Child Support Services Towaliga Office,Health,Paternity/Maternity Establishment,464 W. Third St.
Butts,Jackson,30233,Division of Child Support Services Towaliga Office,Miscellaneous,Reverse Paternity Actions,464 W. Third St.
Butts,Jackson,30233,Jackson Housing Authority,Homelessness,Home Purchase Listings,160 Carter Ave.
Butts,Jackson,30233,Jackson Housing Authority,Miscellaneous,Housing Authorities,160 Carter Ave.
Butts,Jackson,30233,Jackson Housing Authority,Homelessness,Public Housing,160 Carter Ave.
Butts,Jackson,30233,Jackson/Butts County Public Library,Income,Adult Basic Education,436 E. College St.
Butts,Jackson,30233,Jackson/Butts County Public Library,Health,Blood Pressure Screening,436 E. College St.
Butts,Jackson,30233,Jackson/Butts County Public Library,Education,Book Loan,436 E. College St.
Butts,Jackson,30233,Jackson/Butts County Public Library,Miscellaneous,Displays/Exhibits,436 E. College St.
Butts,Jackson,30233,Jackson/Butts County Public Library,Education,Story Hour,436 E. College St.
Butts,Jackson,30233,Jackson/Butts County Public Library,Miscellaneous,Voter Registration Offices,436 E. College St.
Butts,Jackson,30233,Jackson/Butts County Public Library,Education,Youth Enrichment Programs,436 E. College St.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Alcoholism Counseling,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Central Intake/Assessment for Mental Health Services,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Community Mental Health Agencies,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Income,Disability Related Center Based Employment,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Drug Abuse Counseling,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Income,Ex-Offender Counseling,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Family Counseling,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Miscellaneous,First Offender DUI Programs,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Individual Counseling,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Long Term Case/Care Management,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Mental Health Hotlines,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Psychiatric Case Management,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Health,Suicide Prevention Hotlines,463 Earnest Biles Dr.
Butts,Jackson,30233,McIntosh Trail BH/DD Butts County Counseling Center,Income,Vocational Rehabilitation,463 Earnest Biles Dr.
Butts,Jackson,30233,"McIntosh Trail Early Childhood Development Council, Inc.",Education,Early Head Start Sites,565 Recreation Dr.
Butts,Jackson,30233,"McIntosh Trail Early Childhood Development Council, Inc.",Education,Head Start Sites,565 Recreation Dr.
Butts,Jackson,30233,"McIntosh Trail Early Childhood Development Council, Inc.",Education,Special Preschools,565 Recreation Dr.
Butts,Jackson,30233,"Never Forgotten Ministries, Inc.",Miscellaneous,Baby Clothing,"2707 B Hwy. 16, W"
Butts,Jackson,30233,"Never Forgotten Ministries, Inc.",Miscellaneous,Children's Clothing,"2707 B Hwy. 16, W"
Butts,Jackson,30233,"Never Forgotten Ministries, Inc.",Basic Needs,Food Pantries,"2707 B Hwy. 16, W"
Butts,Jackson,30233,"Never Forgotten Ministries, Inc.",Miscellaneous,General Clothing Provision,"2707 B Hwy. 16, W"
Butts,Jackson,30233,"Never Forgotten Ministries, Inc.",Basic Needs,Shoes,"2707 B Hwy. 16, W"
Butts,Jackson,30233,"Never Forgotten Ministries, Inc.",Miscellaneous,Winter Clothing,"2707 B Hwy. 16, W"
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Miscellaneous,Baby Clothing,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Homelessness,Electric Service Payment Assistance,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Basic Needs,Food Pantries,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Homelessness,Gas Service Payment Assistance,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Miscellaneous,General Clothing Provision,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Health,Prescription Expense Assistance,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Income,Rent Payment Assistance,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Miscellaneous,Thrift Shops,178 N. Benton St.
Butts,Jackson,30233,Salvation Army - Butts County Service Unit,Homelessness,Water Service Payment Assistance,178 N. Benton St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Ambulatory Pediatrics,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Community Clinics,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Dental Screening,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,General Medical Care,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Mammograms,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Mobile Dental Care,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Pap Tests,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Referral to Physicians Accepting Medicaid,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Referral to Physicians Accepting Medicare,176 Lyons St.
Butts,Jackson,30233,Southside Medical Center - Butts County,Health,Women's Health Centers,176 Lyons St.
Cherokee,Acworth,30102,Faith Family Church,Basic Needs,Food Pantries,5744 Bells Ferry Rd.
Cherokee,Canton,30101,Sequoyah Regional Library System,Education,Book Loan,116 Brown Industrial Pkwy.
Cherokee,Canton,30101,Sequoyah Regional Library System,Miscellaneous,Meeting Space,116 Brown Industrial Pkwy.
Cherokee,Canton,30101,Sequoyah Regional Library System,Homelessness,Outreach Programs,116 Brown Industrial Pkwy.
Cherokee,Canton,30101,Sequoyah Regional Library System,Education,Story Hour,116 Brown Industrial Pkwy.
Cherokee,Canton,30114,Action Church,Homelessness,Cold Weather Shelters/Warming Centers * Homeless Families,271 Marietta Rd.
Cherokee,Canton,30114,Action Church,Homelessness,Cold Weather Shelters/Warming Centers * Men,271 Marietta Rd.
Cherokee,Canton,30114,Action Church,Homelessness,Cold Weather Shelters/Warming Centers * Women,271 Marietta Rd.
Cherokee,Canton,30114,American Legion Thomas M. Brady Post 45,Homelessness,Electric Service Payment Assistance,160 McClure St.
Cherokee,Canton,30114,American Legion Thomas M. Brady Post 45,Homelessness,Gas Service Payment Assistance,160 McClure St.
Cherokee,Canton,30114,American Legion Thomas M. Brady Post 45,Miscellaneous,General Minor Home Repair Programs,160 McClure St.
Cherokee,Canton,30114,American Legion Thomas M. Brady Post 45,Income,Job Search/Placement,160 McClure St.
Cherokee,Canton,30114,American Legion Thomas M. Brady Post 45,Income,Rent Payment Assistance,160 McClure St.
Cherokee,Canton,30114,American Legion Thomas M. Brady Post 45,Homelessness,Veteran Benefits Assistance,160 McClure St.
Cherokee,Canton,30114,American Legion Thomas M. Brady Post 45,Homelessness,Water Service Payment Assistance,160 McClure St.
Cherokee,Canton,30114,Anna Crawford Children's Center,Health,Child Abuse Counseling,9870 Hwy. 92
Cherokee,Canton,30114,Anna Crawford Children's Center,Basic Needs,Child Abuse Prevention,9870 Hwy. 92
Cherokee,Canton,30114,Anna Crawford Children's Center,Health,Forensic Mental Health Evaluation,9870 Hwy. 92
Cherokee,Canton,30114,Anna Crawford Children's Center,Miscellaneous,Group Advocacy,9870 Hwy. 92
Cherokee,Canton,30114,Cherokee County Chamber of Commerce,Income,Chambers of Commerce,3605 Marietta Hwy.
Cherokee,Canton,30114,Cherokee County Chamber of Commerce,Homelessness,Regional Economic Development,3605 Marietta Hwy.
Cherokee,Canton,30114,Cherokee County Chamber of Commerce,Income,Small Business Development,3605 Marietta Hwy.
Cherokee,Canton,30114,Cherokee County Chamber of Commerce,Miscellaneous,Specialized Information and Referral * Business Issues,3605 Marietta Hwy.
Cherokee,Canton,30114,Cherokee County Cooperative Extension Service,Miscellaneous,Agricultural Pest/Disease Control Assistance,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Cooperative Extension Service,Income,Consumer Education,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Cooperative Extension Service,Health,Dietary Services,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Cooperative Extension Service,Miscellaneous,Gardening/Landscaping Instruction,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Cooperative Extension Service,Miscellaneous,Printed Materials * Environmental Issues,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Cooperative Extension Service,Education,Youth Agricultural Programs,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Cooperative Extension Service,Education,Youth Enrichment Programs,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Court Service Office,Health,Long Term Case/Care Management,220 Brown Industrial Pkwy.
Cherokee,Canton,30114,Cherokee County Court Service Office,Basic Needs,Specialized Information and Referral * At Risk Youth,220 Brown Industrial Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Education,Adoption Evaluation/Placement,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Basic Needs,Child Abuse Reporting/Emergency Response,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Basic Needs,Child Care Expense Assistance Applications,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Basic Needs,Food Stamps/SNAP Applications,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Health,Foster Homes for Dependent Children,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Income,GAIN Programs,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Health,Medicaid Applications,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DFCS,Health,TANF Applications,105 Lamar Haley Pkwy.
Cherokee,Canton,30114,Cherokee County DUI/Drug Court,Miscellaneous,Drug Courts,90 North St.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Asbestos Information,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Carbon Monoxide Information,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Indoor Air Pollution Information,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Lead Information,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Health,Lead Poisoning Screening,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Mold Pollution Information,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Pool Sanitation,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Radon Information,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Health Department - Environmental Health,Miscellaneous,Restaurant/Food Sanitation,1130 Bluffs Pkwy.
Cherokee,Canton,30114,Cherokee County Juvenile Court,Miscellaneous,Court Ordered Victim Restitution Services,90 North St.
Cherokee,Canton,30114,Cherokee County Juvenile Court,Miscellaneous,Guardians ad Litem,90 North St.
Cherokee,Canton,30114,Cherokee County Juvenile Court,Miscellaneous,Juvenile Diversion,90 North St.
Cherokee,Canton,30114,Cherokee County Juvenile Court,Miscellaneous,Juvenile Justice Courts,90 North St.
Cherokee,Canton,30114,Cherokee County Juvenile Court,Miscellaneous,Juvenile Probation,90 North St.
Cherokee,Canton,30114,Cherokee County Juvenile Court,Miscellaneous,Permanent Placement Supervision,90 North St.
Cherokee,Canton,30114,Cherokee County School District,Education,Alternative Schools,111 Academy St.
Cherokee,Canton,30114,Cherokee County School District,Education,Elementary School Districts,111 Academy St.
Cherokee,Canton,30114,Cherokee County School District,Education,GED/High School Equivalency Test Instruction,111 Academy St.
Cherokee,Canton,30114,Cherokee County School District,Education,High School Districts,111 Academy St.
Cherokee,Canton,30114,Cherokee County School District,Education,Intermediate Schools,111 Academy St.
Cherokee,Canton,30114,Cherokee County School District,Education,Middle Schools,111 Academy St.
Cherokee,Canton,30114,Cherokee County School District,Education,Primary Schools,111 Academy St.
Cherokee,Canton,30114,Cherokee County School District,Education,Secondary/High Schools,111 Academy St.
Cherokee,Canton,30114,Cherokee County Victim-Witness Assistance Program,Miscellaneous,Certificates/Forms Assistance,90 North St.
Cherokee,Canton,30114,Cherokee County Victim-Witness Assistance Program,Miscellaneous,Crime Victim Accompaniment Services,90 North St.
Cherokee,Canton,30114,Cherokee County Victim-Witness Assistance Program,Miscellaneous,Crime Victim Compensation,90 North St.
Cherokee,Canton,30114,Cherokee County Victim-Witness Assistance Program,Miscellaneous,Crime Witness Support,90 North St.
Cherokee,Canton,30114,"Cherokee Day Training Center, Inc.",Health,Adult Development Centers,133 Univeter Rd.
Cherokee,Canton,30114,"Cherokee Day Training Center, Inc.",Health,Day Treatment for Adults with Developmental Disabilities,133 Univeter Rd.
Cherokee,Canton,30114,"Cherokee Day Training Center, Inc.",Income,Disability Related Center Based Employment,133 Univeter Rd.
Cherokee,Canton,30114,"Cherokee Day Training Center, Inc.",Health,Group Residences for Adults with Disabilities,133 Univeter Rd.
Cherokee,Canton,30114,"Cherokee Day Training Center, Inc.",Income,Supported Employment,133 Univeter Rd.
Cherokee,Canton,30114,Cherokee Learning Center,Income,Adult Basic Education,149 Reinhardt College Pkwy.
Cherokee,Canton,30114,Cherokee Learning Center,Income,English as a Second Language,149 Reinhardt College Pkwy.
Cherokee,Canton,30114,Cherokee Learning Center,Education,GED/High School Equivalency Test Instruction,149 Reinhardt College Pkwy.
Cherokee,Canton,30114,"Children's Haven, Inc.",Education,Children's Rights Groups,1083 Marietta Hwy.
Cherokee,Canton,30114,"Children's Haven, Inc.",Miscellaneous,Guardians ad Litem,1083 Marietta Hwy.
Cherokee,Canton,30114,Division of Child Support Services Blue Ridge Office,Basic Needs,Child Support Assistance/Enforcement,321 Lamar Haley Pkwy.
Cherokee,Canton,30114,Division of Child Support Services Blue Ridge Office,Basic Needs,Child Support Petition Filing Offices,321 Lamar Haley Pkwy.
Cherokee,Canton,30114,Division of Child Support Services Blue Ridge Office,Basic Needs,Child Support Wage Assignment Assistance,321 Lamar Haley Pkwy.
Cherokee,Canton,30114,Division of Child Support Services Blue Ridge Office,Miscellaneous,Paternity Suits,321 Lamar Haley Pkwy.
Cherokee,Canton,30114,Division of Child Support Services Blue Ridge Office,Health,Paternity/Maternity Establishment,321 Lamar Haley Pkwy.
Cherokee,Canton,30114,Division of Child Support Services Blue Ridge Office,Miscellaneous,Reverse Paternity Actions,321 Lamar Haley Pkwy.
Cherokee,Canton,30114,G. Cecil Pruett Community Center Family YMCA,Health,Aerobics,151 Waleska St.
